timestamp,temperature,humidity,light_received,hour_of_day,temp_lag_1,hum_lag_1,light_lag_1,temp_target
1970-01-01 00:07:02.469,21.0,43,2498,0,24.1,46.0,0.0,21.0
1970-01-01 00:07:24.927,21.0,43,2545,0,21.0,43.0,2498.0,23.8
1970-01-01 00:07:25.437,23.8,47,1023,0,21.0,43.0,2545.0,21.0
1970-01-01 00:07:36.193,21.0,43,2530,0,23.8,47.0,1023.0,23.4
1970-01-01 00:07:46.365,23.4,47,1023,0,21.0,43.0,2530.0,21.8
1970-01-01 00:07:47.093,21.8,50,1023,0,23.4,47.0,1023.0,21.0
1970-01-01 00:07:47.411,21.0,43,2491,0,21.8,50.0,1023.0,21.9
1970-01-01 00:07:59.096,21.9,50,1023,0,21.0,43.0,2491.0,21.0
1970-01-01 00:08:09.890,21.0,43,2643,0,21.9,50.0,1023.0,21.0
1970-01-01 00:08:21.089,21.0,43,2510,0,21.0,43.0,2643.0,23.0
1970-01-01 00:08:28.032,23.0,47,1023,0,21.0,43.0,2510.0,21.0
1970-01-01 00:08:44.504,21.0,43,2671,0,23.0,47.0,1023.0,21.0
1970-01-01 00:08:55.745,21.0,43,2622,0,21.0,43.0,2671.0,21.0
1970-01-01 00:09:06.968,21.0,43,2650,0,21.0,43.0,2622.0,23.0
1970-01-01 00:09:10.718,23.0,48,1023,0,21.0,43.0,2650.0,21.8
1970-01-01 00:09:11.722,21.8,48,0,0,23.0,48.0,1023.0,21.0
1970-01-01 00:09:18.163,21.0,43,2554,0,21.8,48.0,0.0,22.2
1970-01-01 00:09:25.240,22.2,48,0,0,21.0,43.0,2554.0,21.0
1970-01-01 00:09:29.414,21.0,43,2506,0,22.2,48.0,0.0,22.6
1970-01-01 00:09:38.273,22.6,48,0,0,21.0,43.0,2506.0,21.0
1970-01-01 00:09:40.829,21.0,43,2542,0,22.6,48.0,0.0,21.0
1970-01-01 00:09:52.061,21.0,43,2482,0,21.0,43.0,2542.0,21.0
1970-01-01 00:10:03.317,21.0,43,2624,0,21.0,43.0,2482.0,23.0
1970-01-01 00:10:04.148,23.0,48,0,0,21.0,43.0,2624.0,21.0
1970-01-01 00:10:14.676,21.0,43,2642,0,23.0,48.0,0.0,23.0
1970-01-01 00:10:16.912,23.0,47,0,0,21.0,43.0,2642.0,21.0
1970-01-01 00:10:25.892,21.0,43,2609,0,23.0,47.0,0.0,23.4
1970-01-01 00:10:29.616,23.4,47,0,0,21.0,43.0,2609.0,21.0
1970-01-01 00:10:37.109,21.0,43,2421,0,23.4,47.0,0.0,21.0
1970-01-01 00:10:48.313,21.0,43,2583,0,21.0,43.0,2421.0,21.0
1970-01-01 00:10:59.552,21.0,43,2689,0,21.0,43.0,2583.0,23.6
1970-01-01 00:11:09.154,23.6,47,0,0,21.0,43.0,2689.0,60.1
1970-01-01 00:11:21.388,60.1,27,2478,0,23.6,47.0,0.0,23.8
1970-01-01 00:11:22.189,23.8,46,0,0,60.1,27.0,2478.0,21.0
1970-01-01 00:11:32.642,21.0,42,2431,0,23.8,46.0,0.0,23.8
1970-01-01 00:11:35.831,23.8,47,0,0,21.0,42.0,2431.0,22.6
1970-01-01 00:11:36.885,22.6,49,0,0,23.8,47.0,0.0,21.0
1970-01-01 00:11:44.020,21.0,43,2606,0,22.6,49.0,0.0,21.0
1970-01-01 00:11:55.296,21.0,43,2484,0,21.0,43.0,2606.0,22.6
1970-01-01 00:11:58.202,22.6,50,0,0,21.0,43.0,2484.0,21.0
1970-01-01 00:12:06.520,21.0,43,2490,0,22.6,50.0,0.0,24.0
1970-01-01 00:12:14.585,24.0,46,0,0,21.0,43.0,2490.0,23.4
1970-01-01 00:12:33.095,23.4,48,0,0,24.0,46.0,0.0,21.0
1970-01-01 00:12:40.231,21.0,43,2595,0,23.4,48.0,0.0,21.0
1970-01-01 00:12:52.434,21.0,43,2401,0,21.0,43.0,2595.0,21.9
1970-01-01 00:13:11.597,21.9,49,1023,0,21.0,43.0,2401.0,21.0
1970-01-01 00:13:14.887,21.0,43,2386,0,21.9,49.0,1023.0,24.1
1970-01-01 00:13:20.351,24.1,45,0,0,21.0,43.0,2386.0,21.0
1970-01-01 00:13:26.122,21.0,43,2415,0,24.1,45.0,0.0,21.0
1970-01-01 00:13:37.340,21.0,43,2486,0,21.0,43.0,2415.0,22.2
1970-01-01 00:13:47.602,22.2,50,1023,0,21.0,43.0,2486.0,21.0
1970-01-01 00:13:48.605,21.0,43,2531,0,22.2,50.0,1023.0,21.0
1970-01-01 00:13:59.859,21.0,43,2536,0,21.0,43.0,2531.0,23.0
1970-01-01 00:14:03.057,23.0,51,1023,0,21.0,43.0,2536.0,21.0
1970-01-01 00:14:11.088,21.0,43,2387,0,23.0,51.0,1023.0,23.0
1970-01-01 00:14:15.094,23.0,52,1023,0,21.0,43.0,2387.0,21.0
1970-01-01 00:14:22.351,21.0,43,2532,0,23.0,52.0,1023.0,22.6
1970-01-01 00:14:25.265,22.6,51,0,0,21.0,43.0,2532.0,23.4
1970-01-01 00:14:27.118,23.4,51,1023,0,22.6,51.0,0.0,23.5
1970-01-01 00:14:31.976,23.5,48,0,0,23.4,51.0,1023.0,22.2
1970-01-01 00:14:35.881,22.2,43,4095,0,23.5,48.0,0.0,23.4
1970-01-01 00:14:39.127,23.4,49,1023,0,22.2,43.0,4095.0,22.6
1970-01-01 00:14:45.908,22.6,51,1023,0,23.4,49.0,1023.0,22.2
1970-01-01 00:14:47.121,22.2,42,4095,0,22.6,51.0,1023.0,23.5
1970-01-01 00:14:47.562,23.5,48,1023,0,22.2,42.0,4095.0,21.0
1970-01-01 00:14:56.045,21.0,43,2407,0,23.5,48.0,1023.0,23.1
1970-01-01 00:15:03.208,23.1,49,1023,0,21.0,43.0,2407.0,23.7
1970-01-01 00:15:03.859,23.7,48,1023,0,23.1,49.0,1023.0,21.0
1970-01-01 00:15:07.313,21.0,43,2503,0,23.7,48.0,1023.0,21.0
1970-01-01 00:15:29.995,21.0,43,2519,0,21.0,43.0,2503.0,22.6
1970-01-01 00:15:31.777,22.6,50,1023,0,21.0,43.0,2519.0,23.8
1970-01-01 00:15:33.199,23.8,48,1023,0,22.6,50.0,1023.0,21.0
1970-01-01 00:15:41.225,21.0,43,2413,0,23.8,48.0,1023.0,23.8
1970-01-01 00:15:45.869,23.8,49,1023,0,21.0,43.0,2413.0,21.0
1970-01-01 00:16:04.006,21.0,43,2537,0,23.8,49.0,1023.0,21.0
1970-01-01 00:16:15.274,21.0,43,2631,0,21.0,43.0,2537.0,21.0
1970-01-01 00:16:26.509,21.0,43,2373,0,21.0,43.0,2631.0,22.8
1970-01-01 00:17:38.147,22.8,51,1023,0,21.0,43.0,2373.0,21.0
1970-01-01 00:17:56.541,21.0,43,3471,0,22.8,51.0,1023.0,21.0
1970-01-01 00:18:30.311,21.0,43,2859,0,21.0,43.0,3471.0,21.0
1970-01-01 00:18:41.533,21.0,43,3485,0,21.0,43.0,2859.0,21.0
1970-01-01 00:18:52.803,21.0,43,3247,0,21.0,43.0,3485.0,21.0
1970-01-01 00:19:04.031,21.0,43,2817,0,21.0,43.0,3247.0,21.0
1970-01-01 00:19:15.242,21.0,43,2467,0,21.0,43.0,2817.0,21.0
1970-01-01 00:19:27.357,21.0,43,2663,0,21.0,43.0,2467.0,21.0
1970-01-01 00:19:49.810,21.0,43,2544,0,21.0,43.0,2663.0,21.0
1970-01-01 00:20:12.381,21.0,43,2512,0,21.0,43.0,2544.0,21.0
1970-01-01 00:20:23.767,21.0,43,2448,0,21.0,43.0,2512.0,21.0
1970-01-01 00:20:34.996,21.0,43,2429,0,21.0,43.0,2448.0,21.0
1970-01-01 00:20:46.210,21.0,43,2439,0,21.0,43.0,2429.0,23.0
1970-01-01 00:20:52.698,23.0,51,0,0,21.0,43.0,2439.0,21.0
1970-01-01 00:20:57.450,21.0,43,2526,0,23.0,51.0,0.0,21.0
1970-01-01 00:21:08.668,21.0,43,2497,0,21.0,43.0,2526.0,23.8
1970-01-01 00:21:25.977,23.8,48,0,0,21.0,43.0,2497.0,21.0
1970-01-01 00:21:31.107,21.0,43,2418,0,23.8,48.0,0.0,21.0
1970-01-01 00:22:16.064,21.0,43,2587,0,21.0,43.0,2418.0,21.0
1970-01-01 00:22:38.543,21.0,43,2487,0,21.0,43.0,2587.0,21.0
1970-01-01 00:22:49.808,21.0,43,2355,0,21.0,43.0,2487.0,21.0
1970-01-01 00:23:12.301,21.0,43,2463,0,21.0,43.0,2355.0,21.0
1970-01-01 00:23:23.508,21.0,43,2431,0,21.0,43.0,2463.0,21.0
1970-01-01 00:23:34.736,21.0,43,2475,0,21.0,43.0,2431.0,23.0
1970-01-01 00:23:41.020,23.0,49,0,0,21.0,43.0,2475.0,21.0
1970-01-01 00:23:45.982,21.0,43,2405,0,23.0,49.0,0.0,21.0
1970-01-01 00:23:57.231,21.0,43,2538,0,21.0,43.0,2405.0,23.8
1970-01-01 00:24:00.078,23.8,49,0,0,21.0,43.0,2538.0,21.0
1970-01-01 00:24:19.731,21.0,43,2637,0,23.8,49.0,0.0,21.0
1970-01-01 00:24:30.950,21.0,43,2425,0,21.0,43.0,2637.0,21.0
1970-01-01 00:24:42.199,21.0,43,2368,0,21.0,43.0,2425.0,21.0
1970-01-01 00:25:15.867,21.0,43,2474,0,21.0,43.0,2368.0,21.0
1970-01-01 00:25:27.380,21.0,43,2495,0,21.0,43.0,2474.0,21.0
1970-01-01 00:25:49.845,21.0,43,2432,0,21.0,43.0,2495.0,21.0
1970-01-01 00:26:13.135,21.0,43,2416,0,21.0,43.0,2432.0,21.0
1970-01-01 00:26:24.370,21.0,43,2518,0,21.0,43.0,2416.0,24.1
1970-01-01 00:26:36.812,24.1,48,0,0,21.0,43.0,2518.0,21.0
1970-01-01 00:26:46.850,21.0,43,2396,0,24.1,48.0,0.0,21.0
1970-01-01 00:26:58.961,21.0,43,2581,0,21.0,43.0,2396.0,22.9
1970-01-01 00:27:17.860,22.9,48,1023,0,21.0,43.0,2581.0,22.7
1970-01-01 00:27:29.859,22.7,48,1023,0,22.9,48.0,1023.0,21.0
1970-01-01 00:27:32.668,21.0,43,2322,0,22.7,48.0,1023.0,24.1
1970-01-01 00:27:40.635,24.1,49,0,0,21.0,43.0,2322.0,22.6
1970-01-01 00:27:41.886,22.6,48,1023,0,24.1,49.0,0.0,21.0
1970-01-01 00:27:43.909,21.0,43,2403,0,22.6,48.0,1023.0,21.0
1970-01-01 00:27:55.378,21.0,43,2549,0,21.0,43.0,2403.0,21.0
1970-01-01 00:28:06.607,21.0,43,2334,0,21.0,43.0,2549.0,24.1
1970-01-01 00:28:18.861,24.1,47,0,0,21.0,43.0,2334.0,21.0
1970-01-01 00:28:29.097,21.0,43,2400,0,24.1,47.0,0.0,21.0
1970-01-01 00:28:40.332,21.0,43,2314,0,21.0,43.0,2400.0,21.0
1970-01-01 00:28:51.617,21.0,43,2441,0,21.0,43.0,2314.0,21.0
